,Website,Journal,Volume,Issue,Title,Download Link
0,AMS,bams,Volume 104,Issue 1,"Atmospheric and Surface Processes, and Feedback Mechanisms Determining Arctic Amplification: A Review of First Results and Prospects of the (AC)3 Project",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0218.1.pdf
0,AMS,bams,Volume 104,Issue 1,A Road Map to Success of International Field Campaigns in Atmospheric and Oceanic Sciences,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0133.1.pdf
0,AMS,bams,Volume 104,Issue 1,Observing the Diurnal Cycle of Coastal Rainfall over Western Puerto Rico in Collaboration with University of Puerto Rico Students,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0322.1.pdf
0,AMS,bams,Volume 104,Issue 1,Explaining and Predicting Earth System Change: A World Climate Research Programme Call to Action,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-21-0280.1.pdf
0,AMS,bams,Volume 104,Issue 1,Anthropogenic Influence on the 2021 Wettest September in Northern China,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0156.1.pdf
0,AMS,bams,Volume 104,Issue 1,"Attribution of the July 2021 Record-Breaking Northwest Pacific Marine Heatwave to Global Warming, Atmospheric Circulation, and ENSO",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0142.1.pdf
0,AMS,bams,Volume 104,Issue 1,The April 2021 Cape Town Wildfire: Has Anthropogenic Climate Change Altered the Likelihood of Extreme Fire Weather?,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/1/BAMS-D-22-0204.1.pdf
0,AMS,bams,Volume 104,Issue 2,Identity and Career: An Analysis of Emerging Meteorologists’ Narratives,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0152.1.pdf
0,AMS,bams,Volume 104,Issue 2,ICE GENESIS: Synergetic Aircraft and Ground-Based Remote Sensing and In Situ Measurements of Snowfall Microphysical Properties,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-21-0184.1.pdf
0,AMS,bams,Volume 104,Issue 2,Effects of the Pandemic on Observing the Global Ocean,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-21-0210.1.pdf
0,AMS,bams,Volume 104,Issue 2,Contrasting Vertical Circulation between Severe and Light Air Pollution inside a Deep Basin: Results from the Collaborative Experiment of 3D Boundary-Layer Meteorology and Pollution at the Sichuan Basin (BLMP-SCB),https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0150.1.pdf
0,AMS,bams,Volume 104,Issue 2,Conceptualizing Confidence: A Multisited Qualitative Analysis in a Severe Weather Context,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0137.1.pdf
0,AMS,bams,Volume 104,Issue 2,"Quantum Computers for Weather and Climate Prediction: The Good, the Bad, and the Noisy",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0031.1.pdf
0,AMS,bams,Volume 104,Issue 2,Breakdown of a Nocturnal Inversion Measured with a Low-Cost Tethersonde System: A High School Student Experiment,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-21-0150.1.pdf
0,AMS,bams,Volume 104,Issue 2,Exploring Influences of Shallow Topography in Stable Boundary Layers: The SAVANT Field Campaign,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-21-0332.1.pdf
0,AMS,bams,Volume 104,Issue 2,Causes of the Extremely Low Solar Radiation in the 2021 Growing Season over Southeastern Tibetan Plateau and Its Impact on Vegetation Growth,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0122.1.pdf
0,AMS,bams,Volume 104,Issue 2,Drought Attribution Studies and Water Resources Management,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/2/BAMS-D-22-0214.1.pdf
0,AMS,bams,Volume 104,Issue 3,"The Excessive Rainfall Outlook at the Weather Prediction Center: Operational Definition, Construction, and Real-Time Collaboration",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-21-0281.1.pdf
0,AMS,bams,Volume 104,Issue 3,QOMS: A Comprehensive Observation Station for Climate Change Research on the Top of Earth,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-22-0084.1.pdf
0,AMS,bams,Volume 104,Issue 3,A Path Toward Short-Term Probabilistic Flash Flood Prediction,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-22-0026.1.pdf
0,AMS,bams,Volume 104,Issue 3,Spectrum Synergy for Investigating Cloud Microphysics,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-22-0008.1.pdf
0,AMS,bams,Volume 104,Issue 3,The ERA5 Extreme Seasons Explorer as a Basis for Research at the Weather and Climate Interface,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-21-0348.1.pdf
0,AMS,bams,Volume 104,Issue 3,IMPROVER: The New Probabilistic Postprocessing System at the Met Office,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-21-0273.1.pdf
0,AMS,bams,Volume 104,Issue 3,Innovations in Winter Storm Forecasting and Decision Support Services,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-22-0065.1.pdf
0,AMS,bams,Volume 104,Issue 3,Human Contribution to the Risk of 2021 Northwestern Pacific Concurrent Marine and Terrestrial Summer Heat,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/3/BAMS-D-22-0238.1.pdf
0,AMS,bams,Volume 104,Issue 4,Public Information Priorities across Weather Hazards and Time Scales,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0190.1.pdf
0,AMS,bams,Volume 104,Issue 4,Listening to Stakeholders II: Adapting Research Products on Subseasonal to Seasonal Heavy Precipitation Events by Exploring Options with Users,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0229.1.pdf
0,AMS,bams,Volume 104,Issue 4,Diverse MJO Genesis and Predictability,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0101.1.pdf
0,AMS,bams,Volume 104,Issue 4,"A SmallSat Concept to Resolve Diurnal and Vertical Variations of Aerosols, Clouds, and Boundary Layer Height",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-21-0179.1.pdf
0,AMS,bams,Volume 104,Issue 4,NOAA’s Great Lakes Wave Prediction System: A Successful Framework for Accelerating the Transition of Innovations to Operations,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0094.1.pdf
0,AMS,bams,Volume 104,Issue 4,The Uncoordinated Giant II: Why U.S. Operational Numerical Weather Prediction Is Still Lagging and How to Fix It,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0037.1.pdf
0,AMS,bams,Volume 104,Issue 4,The “Nuts and Bolts” of Doing Coproduction: Exploring Implementation Decisions in Climate Adaptation Research with Stakeholders,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-21-0292.1.pdf
0,AMS,bams,Volume 104,Issue 4,AsiaPEX: Challenges and Prospects in Asian Precipitation Research,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-20-0220.1.pdf
0,AMS,bams,Volume 104,Issue 4,Advancing Weather and Climate Forecasting for Our Changing World,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-21-0262.1.pdf
0,AMS,bams,Volume 104,Issue 4,Anthropogenic Climate Change Enhances the July 2021 Super-Heavy Rainfall Event in Central China,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0141.1.pdf
0,AMS,bams,Volume 104,Issue 4,Attribution of the March 2021 exceptional dust storm in North China,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/4/BAMS-D-22-0151.1.pdf
0,AMS,bams,Volume 104,Issue 5,"Super Drought under Global Warming: Concept, Monitoring Index, and Validation",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-22-0182.1.pdf
0,AMS,bams,Volume 104,Issue 5,WiFEX: Walk into the Warm Fog over Indo-Gangetic Plain Region,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-21-0197.1.pdf
0,AMS,bams,Volume 104,Issue 5,"Global Warming, Home Runs, and the Future of America’s Pastime",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-22-0235.1.pdf
0,AMS,bams,Volume 104,Issue 5,Sea2Cloud: From Biogenic Emission Fluxes to Cloud Properties in the Southwest Pacific,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-21-0063.1.pdf
0,AMS,bams,Volume 104,Issue 5,GRWP-PBLH: Global Radar Wind Profiler Planetary Boundary Layer Height Data,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-22-0002.1.pdf
0,AMS,bams,Volume 104,Issue 5,How Many People Were Killed by Windblown Dust Events in the United States?,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-22-0186.1.pdf
0,AMS,bams,Volume 104,Issue 5,Tropical Cyclones and Climate Change: Global Landfall Frequency Projections Derived from Knutson et al.,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-22-0189.1.pdf
0,AMS,bams,Volume 104,Issue 5,Building Thunderstorm Resilience in the Hindu Kush Himalaya Region through Probabilistic Forecasts and Satellite Observations,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/5/BAMS-D-21-0260.1.pdf
0,AMS,bams,Volume 104,Issue 6,A Platform for Active Stabilization of High-Altitude Balloon Payloads,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/6/BAMS-D-22-0042.1.pdf
0,AMS,bams,Volume 104,Issue 6,A New Verification Approach? Using Coupled Natural–Human Models to Evaluate the Impact of Forecast Errors on Evacuations,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/6/BAMS-D-22-0136.1.pdf
0,AMS,bams,Volume 104,Issue 6,"The Coupling Between Tropical Meteorology, Aerosol Lifecycle, Convection, and Radiation during the Cloud, Aerosol and Monsoon Processes Philippines Experiment (CAMP2Ex)",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/6/BAMS-D-21-0285.1.pdf
0,AMS,bams,Volume 104,Issue 6,"Surface Solar Extremes in the Most Irradiated Region on Earth, Altiplano",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/6/BAMS-D-22-0215.1.pdf
0,AMS,bams,Volume 104,Issue 7,Making the Case for High-Resolution Regional Ocean Reanalyses: An Example with the Red Sea,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/7/BAMS-D-21-0287.1.pdf
0,AMS,bams,Volume 104,Issue 7,Satellite-Based Ranking of the World’s Hottest and Coldest Cities Reveals Inequitable Distribution of Temperature Extremes,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/7/BAMS-D-22-0233.1.pdf
0,AMS,bams,Volume 104,Issue 7,Commitment to Active Allyship Is Required to Address the Lack of Hispanic and Latinx Representation in the Earth and Atmospheric Sciences,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/7/BAMS-D-22-0075.1.pdf
0,AMS,bams,Volume 104,Issue 7,"Challenges in and Opportunities for International Collaboration: Costing Flood Damages and Losses across Canada, Mexico, and the United States",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/7/BAMS-D-21-0141.1.pdf
0,AMS,bams,Volume 104,Issue 8,Weather Effects on the Spread of COVID-19: Characteristics and Critical Analysis of the First and Second Years of Scientific Research,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-23-0071.1.pdf
0,AMS,bams,Volume 104,Issue 8,CONUS404: The NCAR–USGS 4-km Long-Term Regional Hydroclimate Reanalysis over the CONUS,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-21-0326.1.pdf
0,AMS,bams,Volume 104,Issue 8,Tropical Africa’s First Testbed for High-Impact Weather Forecasting and Nowcasting,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-21-0156.1.pdf
0,AMS,bams,Volume 104,Issue 8,Joint Collaboration on Comparing NOAA’s Ground-Based Weather Radar and NASA–JAXA’s Spaceborne Radar,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-22-0127.1.pdf
0,AMS,bams,Volume 104,Issue 8,"Process-Oriented Diagnostics: Principles, Practice, Community Development, and Common Standards",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-21-0268.1.pdf
0,AMS,bams,Volume 104,Issue 8,P-Type Processes and Predictability: The Winter Precipitation Type Research Multiscale Experiment (WINTRE-MIX),https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-22-0095.1.pdf
0,AMS,bams,Volume 104,Issue 8,"The First Systematic Meteorological Observations in the Americas (Recife, 1640–42)",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-21-0269.1.pdf
0,AMS,bams,Volume 104,Issue 8,The Global Wind Atlas: A High-Resolution Dataset of Climatologies and Associated Web-Based Application,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-21-0075.1.pdf
0,AMS,bams,Volume 104,Issue 8,Anthropogenic Warming Had a Crucial Role in Triggering the Historic and Destructive Mediterranean Derecho in Summer 2022,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/8/BAMS-D-23-0119.1.pdf
0,AMS,bams,Volume 104,Issue 9,Visual Communication of Probabilistic Information to Enhance Decision Support,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0220.1.pdf
0,AMS,bams,Volume 104,Issue 9,Shifting the Paradigm: Cultivating Socially Responsible Atmospheric Scientists through Leadership and Action,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0077.1.pdf
0,AMS,bams,Volume 104,Issue 9,Triple-Dip La Niña Contributes to Pakistan Flooding and Southern China Drought in Summer 2022,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-23-0002.1.pdf
0,AMS,bams,Volume 104,Issue 9,Toward Probabilistic Post-Fire Debris-Flow Hazard Decision Support,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0188.1.pdf
0,AMS,bams,Volume 104,Issue 9,"Use-Inspired, Process-Oriented GCM Selection: Prioritizing Models for Regional Dynamical Downscaling",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-23-0100.1.pdf
0,AMS,bams,Volume 104,Issue 9,An Iterative Approach toward Development of Ensemble Visualization Techniques for High-Impact Winter Weather Hazards: Part I: Product Development,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0192.1.pdf
0,AMS,bams,Volume 104,Issue 9,An Iterative Approach toward Development of Ensemble Visualization Techniques for High-Impact Winter Weather Hazards: Part II: Product Evaluation,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0193.1.pdf
0,AMS,bams,Volume 104,Issue 9,Supermodeling: Improving Predictions with an Ensemble of Interacting Models,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-22-0070.1.pdf
0,AMS,bams,Volume 104,Issue 9,Recent Increase in a Recurrent Pan-Atlantic Wave Pattern Driving Concurrent Wintertime Extremes,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/9/BAMS-D-21-0295.1.pdf
0,AMS,bams,Volume 104,Issue 10,"A Historical Overview on the Science of Derechos: Part I: Identification, Climatology, and Societal Impacts",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/10/BAMS-D-22-0217.1.pdf
0,AMS,bams,Volume 104,Issue 10,"A Historical Overview on the Science of Derechos: Part II: Parent Storm Structure, Environmental Conditions, and History of Numerical Forecasts",https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/10/BAMS-D-22-0278.1.pdf
0,AMS,bams,Volume 104,Issue 10,Surface Solar Radiation Compositions Observed from Himawari-8/9 and Fengyun-4 Series,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/10/BAMS-D-22-0154.1.pdf
0,AMS,bams,Volume 104,Issue 10,The Community Radiative Transfer Model (CRTM): Community-Focused Collaborative Model Development Accelerating Research to Operations,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/10/BAMS-D-22-0015.1.pdf
0,AMS,bams,Volume 104,Issue 10,Investigating a Derecho in a Future Warmer Climate,https://journals.ametsoc.org/downloadpdf/view/journals/bams/104/10/BAMS-D-22-0173.1.pdf
